"Canonical","Status","Source","Dest","Note"
"GRAZYNA_ANALIZA_RAPORT.md","OK","E:\Grazyna_5.0\docs\analysis\GRAZYNA_ANALIZA_RAPORT.md","E:\Grazyna_5.0\docs\analysis\GRAZYNA_ANALIZA_RAPORT.md","Już na miejscu"
"GRAZYNA_HETZNER_READY.md","OK","E:\Grazyna_5.0\docs\deployment\GRAZYNA_HETZNER_READY.md","E:\Grazyna_5.0\docs\deployment\GRAZYNA_HETZNER_READY.md","Już na miejscu"
"GRAZYNA_DB_ANALYSIS.md","OK","E:\Grazyna_5.0\docs\architecture\GRAZYNA_DB_ANALYSIS.md","E:\Grazyna_5.0\docs\architecture\GRAZYNA_DB_ANALYSIS.md","Już na miejscu"
"GRAZYNA_AUTH_JWT_VS_SESSIONS.md","OK","E:\Grazyna_5.0\docs\architecture\GRAZYNA_AUTH_JWT_VS_SESSIONS.md","E:\Grazyna_5.0\docs\architecture\GRAZYNA_AUTH_JWT_VS_SESSIONS.md","Już na miejscu"
"GRAZYNA_ML_VS_REGRESSION.md","OK","E:\Grazyna_5.0\docs\architecture\GRAZYNA_ML_VS_REGRESSION.md","E:\Grazyna_5.0\docs\architecture\GRAZYNA_ML_VS_REGRESSION.md","Już na miejscu"
"GRAZYNA_EXPRESS_VS_FASTIFY.md","OK","E:\Grazyna_5.0\docs\architecture\GRAZYNA_EXPRESS_VS_FASTIFY.md","E:\Grazyna_5.0\docs\architecture\GRAZYNA_EXPRESS_VS_FASTIFY.md","Już na miejscu"
"GRAZYNA_FASTIFY_MIGRATION.md","OK","E:\Grazyna_5.0\docs\architecture\GRAZYNA_FASTIFY_MIGRATION.md","E:\Grazyna_5.0\docs\architecture\GRAZYNA_FASTIFY_MIGRATION.md","Już na miejscu"
"GRAZYNA_BACKEND_FIX.ts","OK","E:\Grazyna_5.0\backend\src\system\GRAZYNA_BACKEND_FIX.ts","E:\Grazyna_5.0\backend\src\system\GRAZYNA_BACKEND_FIX.ts","Już na miejscu"
"GRAZYNA_WORKER_THREADS.ts","OK","E:\Grazyna_5.0\backend\src\services\GRAZYNA_WORKER_THREADS.ts","E:\Grazyna_5.0\backend\src\services\GRAZYNA_WORKER_THREADS.ts","Już na miejscu"
"GRAZYNA_LARGE_OBJECT_DIAG.ts","OK","E:\Grazyna_5.0\backend\src\utils\GRAZYNA_LARGE_OBJECT_DIAG.ts","E:\Grazyna_5.0\backend\src\utils\GRAZYNA_LARGE_OBJECT_DIAG.ts","Już na miejscu"
"GRAZYNA_OOM_PREDICTOR.ps1","OK","E:\Grazyna_5.0\scripts\monitoring\GRAZYNA_OOM_PREDICTOR.ps1","E:\Grazyna_5.0\scripts\monitoring\GRAZYNA_OOM_PREDICTOR.ps1","Już na miejscu"
"GRAZYNA_PREDICT_MONITOR.ps1","OK","E:\Grazyna_5.0\scripts\monitoring\GRAZYNA_PREDICT_MONITOR.ps1","E:\Grazyna_5.0\scripts\monitoring\GRAZYNA_PREDICT_MONITOR.ps1","Już na miejscu"
"watchdog-ai.ps1","OK","E:\Grazyna_5.0\scripts\monitoring\watchdog-ai.ps1","E:\Grazyna_5.0\scripts\monitoring\watchdog-ai.ps1","Już na miejscu"
"docker-compose.prod.yml","OK","E:\Grazyna_5.0\infra\docker-compose.prod.yml","E:\Grazyna_5.0\infra\docker-compose.prod.yml","Już na miejscu"
"ecosystem.config.js","OK","E:\Grazyna_5.0\infra\ecosystem.config.js","E:\Grazyna_5.0\infra\ecosystem.config.js","Już na miejscu"
"deploy-prod.yml","OK","E:\Grazyna_5.0\.github\workflows\deploy-prod.yml","E:\Grazyna_5.0\.github\workflows\deploy-prod.yml","Już na miejscu"
